Types,Card Name,Set Code,Number,Release Date
Legendary Creature — Elf Warrior,Marhault Elsdragon,LEG,244,1994-06-01
Legendary Creature — Human Pirate,Ramirez DePietro,LEG,251,1994-06-01
Legendary Creature — Human Assassin,Ramses Overdark,LEG,252,1994-06-01
Legendary Creature — Human Advisor,Riven Turnbull,LEG,254,1994-06-01
Legendary Creature — Kobold,Rohgahh of Kher Keep,LEG,255,1994-06-01
Legendary Creature — Faerie,Rubinia Soulsinger,LEG,256,1994-06-01
Legendary Creature — Human Shaman,Sunastian Falconer,LEG,261,1994-06-01
Legendary Creature — Human Archer,Tetsuo Umezawa,LEG,262,1994-06-01
Legendary Creature — Human Soldier,Torsten Von Ursus,LEG,266,1994-06-01
Legendary Creature — Elemental,Ur-Drago,LEG,268,1994-06-01
Legendary Creature — Insect Wizard,Xira Arien,LEG,270,1994-06-01
Artifact Creature — Horse,Bronze Horse,LEG,276,1994-06-01
Artifact Creature — Cleric,Marble Priest,LEG,286,1994-06-01
Legendary Land,Hammerheim,LEG,302,1994-06-01
Creature — Shark,Giant Shark,DRK,29,1994-08-01
Creature — Merfolk Assassin,Merfolk Assassin,DRK,32,1994-08-01
Creature,Nameless Race,DRK,50,1994-08-01
Creature — Human Minion,Rag Man,DRK,51,1994-08-01
Creature — Human Shaman,Brothers of Fire,DRK,59,1994-08-01
Creature — Goblin Wizard,Goblin Wizard,DRK,69,1994-08-01
Creature — Leech,Land Leeches,DRK,79,1994-08-01
Artifact Creature — Scarecrow,Scarecrow,DRK,108,1994-08-01
Creature — Human Cleric Soldier,Combat Medic,FEM,1a,1994-11-01
Creature — Human Soldier Scout,Icatian Scout,FEM,13a,1994-11-01
Creature — Human Cleric Knight,Order of Leitbur,FEM,16a,1994-11-01
Creature — Homarid,Deep Spawn,FEM,17,1994-11-01
Creature — Homarid Shaman,Homarid Shaman,FEM,20,1994-11-01
Creature — Homarid Warrior,Homarid Warrior,FEM,22a,1994-11-01
Creature — Merfolk Cleric,Svyelunite Priest,FEM,26,1994-11-01
Creature — Merfolk Knight,Vodalian Knights,FEM,29,1994-11-01
Creature — Merfolk Wizard,Vodalian Mage,FEM,30a,1994-11-01
Creature — Merfolk Soldier,Vodalian Soldiers,FEM,31a,1994-11-01
Creature — Thrull,Armor Thrull,FEM,33a,1994-11-01
Creature — Avatar Praetor,Ebon Praetor,FEM,37,1994-11-01
Creature — Cleric,Initiates of the Ebon Hand,FEM,39a,1994-11-01
Creature — Cleric Knight,Order of the Ebon Hand,FEM,42a,1994-11-01
Creature — Thrull Wizard,Thrull Wizard,FEM,46,1994-11-01
Creature — Dwarf Soldier,Dwarven Lieutenant,FEM,52,1994-11-01
Creature — Goblin Shaman,Goblin Chirurgeon,FEM,54a,1994-11-01
Creature — Orc Rogue,Orcish Spy,FEM,61a,1994-11-01
Creature — Orgg,Orgg,FEM,63,1994-11-01
Creature — Elf Scout,Elvish Scout,FEM,68a,1994-11-01
Creature — Fungus,Feral Thallid,FEM,69,1994-11-01
Creature — Human Cleric Druid,Thelonite Druid,FEM,78,1994-11-01
Creature — Insect Monk Cleric,Thelonite Monk,FEM,79,1994-11-01
Creature — Fox,Arctic Foxes,ICE,2,1995-06-03
Creature — Elf Cleric,Elvish Healer,ICE,22,1995-06-03
Creature — Horse,Hipparion,ICE,31,1995-06-03
Creature — Human Mercenary,Mercenaries,ICE,44,1995-06-03
Creature — Dog,Snow Hound,ICE,53,1995-06-03
Creature — Human Cleric Shaman,Balduvian Shaman,ICE,59,1995-06-03
Creature — Illusion Wall,Illusionary Wall,ICE,78,1995-06-03
Creature — Illusion Horse,Phantasmal Mount,ICE,88,1995-06-03
Creature — Kraken,Polar Kraken,ICE,89,1995-06-03
Creature — Human Wizard Artificer,Soldevi Machinist,ICE,102,1995-06-03
Creature — Demon Minion,Minion of Leshrac,ICE,150,1995-06-03
Creature — Worm,Mole Worms,ICE,152,1995-06-03
Creature — Giant Shaman,Bone Shaman,ICE,176,1995-06-03
Creature — Goblin Mutant,Goblin Mutant,ICE,188,1995-06-03
Creature — Goat,Mountain Goat,ICE,203,1995-06-03
Creature — Orc Cleric,Orcish Healer,ICE,208,1995-06-03
Creature — Aurochs,Aurochs,ICE,225,1995-06-03
Creature — Frog,Chub Toad,ICE,229,1995-06-03
Creature — Elf Cleric Druid,Elder Druid,ICE,232,1995-06-03
Creature — Dryad,Folk of the Pines,ICE,235,1995-06-03
Creature — Lhurgoyf,Lhurgoyf,ICE,252,1995-06-03
Creature — Dinosaur,Pygmy Allosaurus,ICE,257,1995-06-03
Creature — Centaur Archer,Centaur Archer,ICE,282,1995-06-03
Creature — Elemental Beast,Kjeldoran Frostbeast,ICE,296,1995-06-03
Legendary Creature — Skeleton,Skeleton Ship,ICE,301,1995-06-03
Basic Snow Land — Plains,Snow-Covered Plains,ICE,367,1995-06-03
Basic Snow Land — Island,Snow-Covered Island,ICE,371,1995-06-03
Basic Snow Land — Swamp,Snow-Covered Swamp,ICE,372,1995-06-03
Basic Snow Land — Mountain,Snow-Covered Mountain,ICE,379,1995-06-03
Basic Snow Land — Forest,Snow-Covered Forest,ICE,383,1995-06-03
Creature — Human Advisor,Aysen Bureaucrats,HML,3a,1995-10-01
Creature — Human Beast Soldier,Beast Walkers,HML,6,1995-10-01
Creature — Oyster,Giant Oyster,HML,28,1995-10-01
Creature — Whale,Narwhal,HML,35,1995-10-01
Creature — Zombie Pirate,Reef Pirates,HML,36a,1995-10-01
Legendary Creature — Dwarf Wizard,"Reveka, Wizard Savant",HML,37,1995-10-01
Legendary Creature — Vampire Noble,Baron Sengir,HML,41,1995-10-01
Creature — Dog Spirit,Ghost Hounds,HML,49,1995-10-01
Legendary Creature — Shade Knight,Ihsan's Shade,HML,53,1995-10-01
Legendary Creature — Vampire Dwarf,Irini Sengir,HML,54,1995-10-01
Creature — Minotaur Spirit,Anaba Ancestor,HML,65,1995-10-01
Creature — Minotaur Shaman,Anaba Shaman,HML,67a,1995-10-01
Legendary Creature — Avatar,Autumn Willow,HML,83,1995-10-01
Creature — Faerie Noble,Faerie Noble,HML,86,1995-10-01
Creature — Ferret,Joven's Ferrets,HML,89,1995-10-01
Creature — Lizard,Leaping Lizard,HML,90,1995-10-01
Creature — Badger,Rysorian Badger,HML,96,1995-10-01
Creature — Bear Spirit,Spectral Bears,HML,98,1995-10-01
Creature — Faerie Druid,Willow Priestess,HML,100,1995-10-01
Artifact Creature — Gnome,Clockwork Gnomes,HML,102,1995-10-01
Artifact Creature — Insect,Clockwork Swarm,HML,104,1995-10-01
Artifact Creature — Rhino,Ebony Rhino,HML,106,1995-10-01
Creature — Angel Spirit,Sustaining Spirit,ALL,18,1996-06-10
Creature — Merfolk Scout,Benthic Explorers,ALL,24a,1996-06-10
Creature — Starfish,Spiny Starfish,ALL,35,1996-06-10
Creature — Homarid Drone,Viscerid Drone,ALL,42,1996-06-10
Creature — Horror Spirit,Krovikan Horror,ALL,53,1996-06-10
Creature — Goblin Scout,Enslaved Scout,ALL,71a,1996-06-10
Creature — Ape Shaman,Gorilla Shaman,ALL,72a,1996-06-10
Creature — Human Rogue Mercenary,Rogue Skycaptain,ALL,79,1996-06-10
Creature — Elf Shaman,Elvish Bard,ALL,87,1996-06-10
Creature — Elf Spirit,Elvish Spirit Guide,ALL,89,1996-06-10
Creature — Ape Berserker,Gorilla Berserkers,ALL,93a,1996-06-10
Legendary Creature — Elf Druid,Kaysa,ALL,96,1996-06-10
Creature — Human Cleric Wizard,Wandering Mage,ALL,111,1996-06-10
Legendary Creature — Zombie,Lord of Tresserhorn,ALL,112,1996-06-10
Legendary Creature — Phelddagrif,Phelddagrif,ALL,115,1996-06-10
Artifact Creature — Bird Construct,Aesthir Glider,ALL,116a,1996-06-10
Artifact Creature — Phyrexian Construct,Phyrexian Devourer,ALL,125,1996-06-10
Artifact Creature — Phyrexian Beast,Phyrexian War Beast,ALL,127a,1996-06-10
Creature — Griffin,Ekundu Griffin,MIR,13,1996-10-08
Creature — Human Scout,Femeref Scouts,MIR,19,1996-10-08
Legendary Creature — Griffin,"Zuberi, Golden Feather",MIR,51,1996-10-08
Creature — Crocodile,Sandbar Crocodile,MIR,88,1996-10-08
Legendary Creature — Serpent,Taniwha,MIR,95,1996-10-08
Creature — Shade Horror,Fetid Horror,MIR,123,1996-10-08
Legendary Creature — Vampire,"Shauku, Endbringer",MIR,142,1996-10-08
Legendary Creature — Demon Spirit,Spirit of the Night,MIR,146,1996-10-08
Creature — Nightstalker Cat,Urborg Panther,MIR,150,1996-10-08
Creature — Dwarf Nomad,Dwarven Nomad,MIR,170,1996-10-08
Creature — Cyclops,Ekundu Cyclops,MIR,171,1996-10-08
Legendary Creature — Viashino Shaman,Hivis of the Scale,MIR,182,1996-10-08
Creature — Salamander,Pyric Salamander,MIR,187,1996-10-08
Creature — Minotaur Berserker,Talruum Minotaur,MIR,196,1996-10-08
Creature — Viashino Warrior,Viashino Warrior,MIR,200,1996-10-08
Creature — Brushwagg,Brushwagg,MIR,208,1996-10-08
Creature — Rhino,Crash of Rhinos,MIR,210,1996-10-08
Creature — Human Archer,Femeref Archers,MIR,215,1996-10-08
Creature — Hyena,Gibbering Hyenas,MIR,219,1996-10-08
Creature — Mongoose,Karoo Meerkat,MIR,225,1996-10-08
Creature — Fungus Wall,Mindbender Spores,MIR,229,1996-10-08
Artifact Creature — Phyrexian Dreadnought,Phyrexian Dreadnought,MIR,315,1996-10-08
Artifact Creature — Dragon,Teeka's Dragon,MIR,320,1996-10-08
Creature — Zombie Giant,Necrosavant,MGB,4,1996-11-01
Creature — Jellyfish,Man-o'-War,VIS,37,1997-02-03
Creature — Cyclops Warrior,Tar Pit Warrior,VIS,70,1997-02-03
Creature — Plant Fungus,Lichenthrope,VIS,112,1997-02-03
Creature — Elf Ranger,Quirion Ranger,VIS,117,1997-02-03
Creature — Antelope Beast,Stampeding Wildebeests,VIS,121,1997-02-03
Creature — Hippo,Pygmy Hippo,VIS,133,1997-02-03
Artifact Creature — Chimera,Brass-Talon Chimera,VIS,142,1997-02-03
Creature — Elf Soldier,Devoted Hero,POR,13,1997-05-01
Creature — Human Monk Cleric,Venerable Monk,POR,35,1997-05-01
Creature — Illusion Dragon,Cloud Dragon,POR,45,1997-05-01
Creature — Octopus,Giant Octopus,POR,56,1997-05-01
Creature — Illusion Warrior,Phantom Warrior,POR,65,1997-05-01
Creature — Human Mercenary Knight,Mercenary Knight,POR,99,1997-05-01
Creature — Snake Assassin,Serpent Assassin,POR,108,1997-05-01
Creature — Snake Warrior,Serpent Warrior,POR,109,1997-05-01
Creature — Crocodile Skeleton,Skeletal Crocodile,POR,110,1997-05-01
Creature — Snake Skeleton,Skeletal Snake,POR,111,1997-05-01
Creature — Lizard Warrior,Lizard Warrior,POR,139,1997-05-01
Creature — Minotaur Warrior,Minotaur Warrior,POR,140,1997-05-01
Creature — Goblin Berserker,Raging Goblin,POR,145,1997-05-01
Creature — Elemental Horse,Thundermare,POR,152,1997-05-01
Creature — Ape Warrior,Gorilla Warrior,POR,168,1997-05-01
Creature — Plant Elemental,Plant Elemental,POR,181,1997-05-01
Vanguard,Ertai,PVAN,101,1997-05-01
Legendary Creature — Phyrexian Horror,Gallowbraid,WTH,70,1997-06-09
Creature — Knight,Shadow Rider,WTH,79,1997-06-09
Creature — Dwarf Berserker,Dwarven Berserker,WTH,97,1997-06-09
Creature — Dwarf Shaman,Dwarven Thaumaturgist,WTH,98,1997-06-09
Creature — Goblin Rogue,Goblin Vandal,WTH,105,1997-06-09
Creature — Fungus Elemental,Fungus Elemental,WTH,128,1997-06-09
Creature — Sliver,Armor Sliver,TMP,4,1997-10-14
Creature — Licid,Quickening Licid,TMP,36,1997-10-14
Creature — Soltari Knight,Soltari Crusader,TMP,41,1997-10-14
Creature — Soltari Soldier,Soltari Emissary,TMP,42,1997-10-14
Creature — Soltari Monk Cleric,Soltari Monk,TMP,45,1997-10-14
Creature — Soltari Cleric,Soltari Priest,TMP,46,1997-10-14
Creature — Squid Beast,Fylamarid,TMP,64,1997-10-14
Creature — Crab,Giant Crab,TMP,66,1997-10-14
Creature — Merfolk Shaman,Rootwater Shaman,TMP,84,1997-10-14
Creature — Thalakos Wizard,Thalakos Dreamsower,TMP,92,1997-10-14
Creature — Thalakos Illusion,Thalakos Mistfolk,TMP,93,1997-10-14
Creature — Thalakos Soldier,Thalakos Sentry,TMP,95,1997-10-14
Creature — Human Archer Minion,Bounty Hunter,TMP,110,1997-10-14
Creature — Zombie Wizard,Coffin Queen,TMP,114,1997-10-14
Legendary Creature — Phyrexian Human Warrior,Commander Greven il-Vec,TMP,115,1997-10-14
Creature — Shade Spirit,Darkling Stalker,TMP,119,1997-10-14
Creature — Dauthi Zombie,Dauthi Ghoul,TMP,121,1997-10-14
Creature — Dauthi Horror,Dauthi Horror,TMP,122,1997-10-14
Creature — Dauthi Minion,Dauthi Marauder,TMP,123,1997-10-14
Creature — Dauthi Knight Mercenary,Dauthi Mercenary,TMP,124,1997-10-14
Creature — Dauthi Soldier,Dauthi Slayer,TMP,126,1997-10-14
Creature — Rabbit Beast,Kezzerdrix,TMP,139,1997-10-14
Creature — Minion,Minion of the Wastes,TMP,146,1997-10-14
Creature — Harpy Beast,Screeching Harpy,TMP,155,1997-10-14
Creature — Elemental Dinosaur,Magmasaur,TMP,188,1997-10-14
Creature — Human Soldier Warrior,Sandstone Warrior,TMP,199,1997-10-14
Creature — Troll Giant,Skyshroud Troll,TMP,257,1997-10-14
Creature — Spike Drone,Spike Drone,TMP,258,1997-10-14
Legendary Creature — Phyrexian Angel,"Selenia, Dark Angel",TMP,270,1997-10-14
Artifact Creature — Snake,Coiled Tinviper,TMP,279,1997-10-14
Artifact Creature — Sliver,Metallic Sliver,TMP,297,1997-10-14
Artifact Creature — Phyrexian Golem,Phyrexian Hulk,TMP,302,1997-10-14
Artifact Creature — Dog,Watchdog,TMP,314,1997-10-14
Creature — Kor Soldier,Lancers en-Kor,STH,8,1998-03-02
Creature — Kor Nomad Soldier,Nomads en-Kor,STH,9,1998-03-02
Creature — Kor Cleric Shaman,Shaman en-Kor,STH,15,1998-03-02
Creature — Kor Spirit,Spirit en-Kor,STH,19,1998-03-02
Creature — Kor Warrior Knight,Warrior en-Kor,STH,23,1998-03-02
Creature — Angel Warrior,Warrior Angel,STH,24,1998-03-02
Creature — Merfolk Warrior,Tidal Warrior,STH,47,1998-03-02
Creature — Phyrexian Shapeshifter,Volrath's Shapeshifter,STH,48,1998-03-02
Creature — Phyrexian Zombie Assassin,Stronghold Assassin,STH,71,1998-03-02
Creature — Giant Minion,Stronghold Taskmaster,STH,72,1998-03-02
Creature — Hellion Beast,Flowstone Hellion,STH,84,1998-03-02
Creature — Elf Druid Warrior,Skyshroud Troopers,STH,115,1998-03-02
Creature — Spike,Spike Breeder,STH,116,1998-03-02
Creature — Spike Soldier,Spike Soldier,STH,119,1998-03-02
Legendary Creature — Sliver,Sliver Queen,STH,129,1998-03-02
Legendary Artifact,Sword of the Chosen,STH,141,1998-03-02
Creature — Merfolk Rogue,Merfolk Looter,EXO,39,1998-06-15
Creature — Thalakos,Thalakos Drifters,EXO,47,1998-06-15
Creature — Thalakos Soldier Scout,Thalakos Scout,EXO,48,1998-06-15
Creature — Kor Rogue Minion,Cat Burglar,EXO,54,1998-06-15
Creature — Dauthi Jackal,Dauthi Jackal,EXO,58,1998-06-15
Creature — Specter Spirit,Entropic Specter,EXO,61,1998-06-15
Creature — Vampire Dog,Vampire Hounds,EXO,77,1998-06-15
Creature — Goblin Assassin,Mogg Assassin,EXO,88,1998-06-15
Creature — Ogre Shaman,Ogre Shaman,EXO,91,1998-06-15
Creature — Monkey,Ravenous Baboons,EXO,97,1998-06-15
Creature — Elf Berserker,Elvish Berserker,EXO,110,1998-06-15
Artifact Creature — Licid,Transmogrifying Licid,EXO,141,1998-06-15
Creature — Human Pirate Scout,Talas Explorer,P02,49,1998-06-24
Creature — Human Pirate Wizard,Talas Researcher,P02,51,1998-06-24
Creature — Human Pirate Warrior,Talas Warrior,P02,53,1998-06-24
Creature — Ogre Berserker,Ogre Berserker,P02,111,1998-06-24
Creature — Ogre Warrior,Ogre Warrior,P02,113,1998-06-24
Creature — Elf Warrior,Norwood Warrior,P02,140,1998-06-24
Creature — Phyrexian Imp,Crazed Skirge,USG,125,1998-10-12
