Types,Token Name,Card Name,Set Code,Number,Release Date
Creature — Reflection,Reflection,Spirit Mirror,TMP,48,1997-10-14
Creature — Beast,Carnivore,Tooth and Claw,TMP,210,1997-10-14
Creature — Dog,Dog,Mongrel Pack,TMP,237,1997-10-14
Creature — Rat,Rat,Lab Rats,STH,61,1998-03-02
Creature — Spike,Spike,Spike Breeder,STH,116,1998-03-02
Creature,,Volrath's Laboratory,STH,142,1998-03-02
Artifact Creature — Thopter,Thopter,Thopter Squadron,EXO,140,1998-06-15
Artifact Creature — Gnome,Gnome,Metrognome,USG,301,1998-10-12
Creature — Phyrexian Minion,Phyrexian Minion,Phyrexian Processor,USG,306,1998-10-12
Creature — Monkey,Monkey,Monkey Cage,MMQ,307,1999-10-04
Creature — Angel,Angel,Angelic Favor,NEM,1,2000-02-14
Creature — Minion,Minion,Infernal Genesis,PCY,68,2000-06-05
Creature — Elephant,Elephant,Elephant Resurgence,PCY,113,2000-06-05
Creature — Kavu,Kavu,Penumbra Kavu,APC,83,2001-06-04
Creature — Wurm,Wurm,Penumbra Wurm,APC,84,2001-06-04
Creature — Goblin Soldier,Goblin Soldier,Goblin Trenches,APC,104,2001-06-04
Creature — Bear,Bear,Bearscape,ODY,229,2001-10-01
Creature — Elemental Cat,Elemental Cat,Firecat Blitz,JUD,88,2002-05-27
Creature — Dragon,Dragon,Dragon Roost,ONS,198,2002-10-07
Creature — Centaur,Centaur,Centaur Glade,ONS,251,2002-10-07
Creature — Elemental,Elemental,Voice of the Woods,ONS,297,2002-10-07
Creature — Ooze,Ooze,Kresh the Bloodbraided Avatar,PMOA,87,2003-01-01
Creature — Rhino,Rhino,Master of the Wild Hunt Avatar,PMOA,96,2003-01-01
Creature — Antelope,Antelope,Master of the Wild Hunt Avatar,PMOA,96,2003-01-01
Artifact Creature — Myr,Myr,Myr Incubator,MRD,212,2003-10-02
Artifact Creature — Pest,Pest,Nuisance Engine,MRD,221,2003-10-02
Artifact Creature — Pentavite,Pentavite,Pentavus,MRD,226,2003-10-02
Artifact Creature — Construct,Twin,Gemini Engine,DST,121,2004-02-06
Artifact Creature — Spawn,Spawn,Spawning Pit,DST,141,2004-02-06
Legendary Creature — Avatar,Kaldra,Helm of Kaldra,5DN,131,2004-06-04
Creature — Pincher,Pincher,Summoning Station,5DN,158,2004-06-04
Creature — Illusion,Illusion,Meloku the Clouded Mirror,CHK,74,2004-10-01
Creature — Dragon Spirit,Dragon Spirit,"Tatsumasa, the Dragon's Fang",CHK,270,2004-10-01
Creature — Warrior,Warrior,Rally the Horde,SOK,110,2005-06-03
Legendary Creature — Demon Spirit,Urami,Tomb of Urami,SOK,165,2005-06-03
Creature — Horror,Horror,Hunted Lammasu,RAV,22,2005-10-07
Creature — Faerie,Faerie,Hunted Troll,RAV,170,2005-10-07
Legendary Creature — Wolf,Voja,Tolsimir Wolfblood,RAV,236,2005-10-07
Creature — Bat,Bat,Belfry Spirit,GPT,2,2006-02-03
Creature — Weird,Weird,Thunderheads,GPT,37,2006-02-03
Creature — Sand,Sand,Dune-Brood Nephilim,GPT,110,2006-02-03
Creature — Drake,Drake,Leafdrake Roost,DIS,116,2006-05-05
Creature — Griffin,Griffin,Griffin Guide,TSP,21,2006-10-06
Creature — Spider,Spider,Penumbra Spider,TSP,210,2006-10-06
Artifact Creature — Triskelavite,Triskelavite,Triskelavus,TSP,266,2006-10-06
Creature — Kobold,Kobolds of Kher Keep,Kher Keep,TSP,275,2006-10-06
Artifact Creature — Assembly-Worker,Assembly-Worker,Urza's Factory,TSP,280,2006-10-06
Creature — Ape,Ape,Pongify,PLC,44,2007-02-02
Creature — Cat Warrior,Cat Warrior,Jedit Ojanen of Efrava,PLC,131,2007-02-02
Creature — Kithkin Soldier,Goldmeadow Harrier,Goldmeadow Lookout,FUT,22,2007-05-04
Creature — Zombie Goblin,Festering Goblin,Skirk Ridge Exhumer,FUT,77,2007-05-04
Creature — Giant,Giant,Pact of the Titan,FUT,103,2007-05-04
Creature — Elf Druid,Llanowar Elves,Llanowar Mentor,FUT,131,2007-05-04
Artifact Creature — Sliver,Metallic Sliver,Sliversmith,FUT,163,2007-05-04
Creature — Avatar,Avatar,Ajani Goldmane,LRW,1,2007-10-12
Creature — (all creature types),Shapeshifter,Crib Swap,LRW,11,2007-10-12
Creature — Merfolk Wizard,Merfolk Wizard,Summon the School,LRW,42,2007-10-12
Creature — Goblin Rogue,Goblin Rogue,Boggart Mob,LRW,104,2007-10-12
Creature — Elf Warrior,Elf Warrior,Prowess of the Fair,LRW,136,2007-10-12
Creature — Elemental Shaman,Elemental Shaman,Hearthcage Giant,LRW,174,2007-10-12
Creature — Giant Warrior,Giant Warrior,Feudkiller's Verdict,MOR,9,2008-02-01
Creature — Faerie Rogue,Faerie Rogue,Notorious Throng,MOR,45,2008-02-01
Creature — Treefolk Shaman,Treefolk Shaman,Reach of Branches,MOR,132,2008-02-01
Creature — Goblin Warrior,Goblin Warrior,"Wort, the Raidmother",SHM,223,2008-05-02
Creature — Goat,Goat,Springjack Shepherd,EVE,15,2008-07-25
Creature — Worm,Worm,Creakwood Liege,EVE,117,2008-07-25
Artifact Creature — Homunculus,Homunculus,Puppet Conjurer,ALA,82,2008-10-03
Creature — Zombie Wizard,Zombie Wizard,Lich Lord of Unx,ARB,24,2009-04-30
Creature — Lizard,Lizard,Predatory Advantage,ARB,58,2009-04-30
Creature — Bird Soldier,Bird Soldier,Flurry of Wings,ARB,127,2009-04-30
Artifact Creature — Gargoyle,Gargoyle,Gargoyle Castle,M10,225,2009-07-17
Creature — Kor Soldier,Kor Soldier,Conqueror's Pledge,ZEN,8,2009-10-02
Creature — Merfolk,Merfolk,Lullmage Mentor,ZEN,54,2009-10-02
Creature — Vampire,Vampire,"Kalitas, Bloodchief of Ghet",ZEN,99,2009-10-02
Creature — Zombie Giant,Zombie Giant,Quest for the Gravelord,ZEN,108,2009-10-02
Creature — Soldier Ally,Soldier Ally,Join the Ranks,WWK,9,2010-02-05
Creature — Ogre,Ogre,"Kazuul, Tyrant of the Cliffs",WWK,84,2010-02-05
Creature — Plant,Plant,Avenger of Zendikar,WWK,96,2010-02-05
Creature — Eldrazi Spawn,Eldrazi Spawn,Skittering Invasion,ROE,10,2010-04-23
Creature — Hellion,Hellion,Hellion Eruption,ROE,151,2010-04-23
Legendary Artifact Creature — Goblin Golem,Tuktuk the Returned,Tuktuk the Explorer,ROE,169,2010-04-23
Artifact Creature — Golem,Golem,The Iron Guardian Stirs,OARC,22★,2010-06-18
Creature — Phyrexian Insect,Phyrexian Insect,Carrion Call,SOM,115,2010-10-01
Artifact Creature — Phyrexian Wurm,Phyrexian Wurm,Wurmcoil Engine,SOM,223,2010-10-01
Artifact Creature — Phyrexian Horror,Phyrexian Horror,Phyrexian Rebirth,MBS,15,2011-02-04
Creature — Phyrexian Zombie,Phyrexian Zombie,Nested Ghoul,MBS,48,2011-02-04
Artifact Creature — Phyrexian Myr,Phyrexian Myr,Myr Sire,MBS,116,2011-02-04
Artifact Creature — Phyrexian Golem,Phyrexian Golem,Blade Splicer,NPH,4,2011-05-13
Creature — Phyrexian Goblin,Phyrexian Goblin,Chancellor of the Forge,NPH,81,2011-05-13
Creature — Homunculus,Homunculus,Stitcher's Apprentice,ISD,81,2011-09-30
Creature — Human,Human,Gather the Townsfolk,DKA,8,2012-02-03
Creature — Eldrazi,Eldrazi,Hedron Fields of Agadeem,OPC2,19,2012-06-01
Creature — Boar,Boar,Brindle Shoat,PC2,60,2012-06-01
Creature — Assassin,Assassin,Vraska the Unseen,RTR,208,2012-10-05
Creature — Frog Lizard,Frog Lizard,Rapid Hybridization,GTC,44,2013-02-01
Creature — Cleric,Cleric,Deathpact Angel,GTC,153,2013-02-01
Enchantment Creature — Cleric,Cleric,"Heliod, God of the Sun",THS,17,2013-09-27
Creature — Harpy,Harpy,Abhorrent Overlord,THS,75,2013-09-27
Enchantment Artifact Creature — Golem,Golem,Hammer of Purphoros,THS,124,2013-09-27
Creature — Satyr,Satyr,"Xenagos, the Reveler",THS,209,2013-09-27
Creature — Cat Soldier,Cat Soldier,"Brimaz, King of Oreskos",BNG,5,2014-02-07
Enchantment Creature — Soldier,Soldier,God-Favored General,BNG,14,2014-02-07
Enchantment Creature — Bird,Bird,Aerie Worshippers,BNG,30,2014-02-07
Enchantment Creature — Zombie,Zombie,Forlorn Pseudamma,BNG,71,2014-02-07
Artifact — Gold,Gold,Gild,BNG,73,2014-02-07
Enchantment Creature — Elemental,Elemental,Satyr Nyx-Smith,BNG,109,2014-02-07
Enchantment Creature — Centaur,Centaur,Fated Intervention,BNG,121,2014-02-07
Creature — Kraken,Kraken,"Kiora, the Crashing Wave",BNG,149,2014-02-07
Creature — Sphinx,Sphinx,Hour of Need,JOU,40,2014-05-02
Creature — Minotaur,Minotaur,Flurry of Horns,JOU,96,2014-05-02
Creature — Hydra,Hydra,Hydra Broodmaster,JOU,128,2014-05-02
Enchantment Creature — Spider,Spider,Renowned Weaver,JOU,137,2014-05-02
Enchantment Creature — Snake,Snake,"Pharika, God of Affliction",JOU,154,2014-05-02
Creature — Squid,Squid,Chasm Skulker,M15,46,2014-07-18
Artifact,Land Mine,Goblin Kaboomist,M15,144,2014-07-18
Creature — Treefolk Warrior,Treefolk Warrior,Kalonian Twingrove,M15,182,2014-07-18
Creature — Spirit Warrior,Spirit Warrior,Kin-Tree Invocation,KTK,183,2014-09-26
Artifact — Equipment,Stoneforged Blade,"Nahiri, the Lithomancer",C14,10,2014-11-07
Creature — Fish,Fish,Reef Worm,C14,16,2014-11-07
Creature — Whale,Whale,Reef Worm,C14,16,2014-11-07
Creature — Treefolk,Treefolk,Sylvan Offering,C14,48,2014-11-07
Creature — Monk,Monk,Monastery Mentor,FRF,20,2015-01-23
Creature — Djinn Monk,Djinn Monk,Ojutai's Summons,DTK,68,2015-03-27
Creature — Zombie Horror,Zombie Horror,Corpseweft,DTK,92,2015-03-27
Legendary Creature — Elemental,"Ashaya, the Awoken World","Nissa, Vastwood Seer // Nissa, Sage Animist",ORI,189,2015-07-17
Creature — Eldrazi Scion,Eldrazi Scion,Blight Herder,BFZ,2,2015-10-02
Creature — Knight Ally,Knight Ally,"Gideon, Ally of Zendikar",BFZ,29,2015-10-02
Creature — Kor Ally,Kor Ally,Retreat to Emeria,BFZ,44,2015-10-02
Creature — Octopus,Octopus,"Kiora, Master of the Depths",BFZ,213,2015-10-02
Creature — Phyrexian Beast,Phyrexian Beast,Ezuri's Predation,C15,36,2015-11-13
Enchantment Creature — Spirit,Spirit,Daxos the Returned,C15,43,2015-11-13
Artifact — Clue,Clue,Bygone Bishop,SOI,8,2016-04-08
Creature — Human Cleric,Human Cleric,Hanweir Militia Captain // Westvale Cult Leader,SOI,21,2016-04-08
Creature — Human Soldier,Human Soldier,Strength of Arms,SOI,40,2016-04-08
Creature — Vampire Knight,Vampire Knight,Call the Bloodline,SOI,103,2016-04-08
Creature — Devil,Devil,Dance with Devils,SOI,150,2016-04-08
Creature — Eldrazi Horror,Eldrazi Horror,Desperate Sentry,EMN,21,2016-07-22
Creature — Human Wizard,Human Wizard,Docent of Perfection // Final Iteration,EMN,56,2016-07-22
Artifact Creature — Servo,Servo,Master Trinketeer,KLD,21,2016-09-30
Artifact Creature — Beast,Beast,Architect of the Untamed,KLD,143,2016-09-30
Creature — Phyrexian Germ,Phyrexian Germ,Grip of Phyresis,C16,9,2016-11-11
Creature — Cat Dragon,Cat Dragon,"Wasitora, Nekoru Queen",PZ2,65705,2016-11-16
Creature — Gremlin,Gremlin,Gremlin Infestation,AER,83,2017-01-20
Legendary Creature — Monkey,Ragavan,"Kari Zev, Skyship Raider",AER,87,2017-01-20
Creature — Horse,Horse,Crested Sunmare,HOU,6,2017-07-14
Artifact — Treasure,Treasure,Depths of Desire,XLN,52,2017-09-29
Creature — Pirate,Pirate,Fathom Fleet Captain,XLN,106,2017-09-29
Creature — Dinosaur,Dinosaur,Raptor Hatchling,XLN,155,2017-09-29
Creature — Nightmare Horror,Nightmare Horror,Chainer's Torment,DOM,82,2018-04-27
Creature — Zombie Knight,Zombie Knight,"Josu Vess, Lich Knight",DOM,95,2018-04-27
Legendary Creature — Dragon,Karox Bladewing,Verix Bladewing,DOM,149,2018-04-27
Legendary Creature — Dog,Mowu,Jiang Yanggu,GS1,22,2018-06-22
Creature — Ox,Ox,Transmogrifying Wand,M19,247,2018-07-13
Creature — Dragon Egg,Dragon Egg,Nesting Dragon,C18,24,2018-08-09
Enchantment — Aura,Mask,"Estrid, the Masked",C18,40,2018-08-09
Creature — Bird Illusion,Bird Illusion,Murmuring Mystic,GRN,45,2018-10-05
Creature — Elf Knight,Elf Knight,Sprouting Renewal,GRN,145,2018-10-05
Creature — Zombie Warrior,Zombie Warrior,God-Eternal Oketra,WAR,16,2019-05-03
Creature — Wizard,Wizard,"Kasmina, Enigmatic Mentor",WAR,56,2019-05-03
Creature — Elemental Bird,Elemental Bird,"Mu Yanling, Sky Dancer",M20,68,2019-07-12
Artifact Creature — Sculpture,Sculpture,Doomed Artisan,C19,3,2019-08-23
Creature — Egg,Egg,"Atla Palani, Nest Tender",C19,38,2019-08-23
Artifact — Food,Food,Bartered Cow,ELD,6,2019-10-04
Creature — Human Warrior,Human Warrior,Outlaws' Merriment,ELD,198,2019-10-04
Creature — Human Rogue,Human Rogue,Outlaws' Merriment,ELD,198,2019-10-04
Creature — Mouse,Mouse,Enchanted Carriage,ELD,218,2019-10-04
Creature — Dwarf,Dwarf,Dwarven Mine,ELD,243,2019-10-04
Creature — Tentacle,Tentacle,Nadir Kraken,THB,55,2020-01-24
Creature — Nightmare,Nightmare,"Ashiok, Nightmare Muse",THB,208,2020-01-24
Creature — Dinosaur Cat,Dinosaur Cat,"Gavi, Nest Warden",C20,7,2020-04-17
Creature — Shark,Shark,Shark Typhoon,IKO,67,2020-04-24
Creature — Dinosaur Beast,Dinosaur Beast,Quartzwood Crasher,IKO,201,2020-04-24
Creature — Cat Bird,Cat Bird,Skycat Sovereign,IKO,207,2020-04-24
Creature — Goblin Wizard,Goblin Wizard,Goblin Wizardry,M21,148,2020-07-03
Creature — Unicorn,Unicorn,Blessed Sanctuary,JMP,1,2020-07-17
Creature — Angel Warrior,Angel Warrior,"Emeria's Call // Emeria, Shattered Skyclave",ZNR,12,2020-09-25
Creature — Cat Beast,Cat Beast,Felidar Retreat,ZNR,16,2020-09-25
Creature — Kor Warrior,Kor Warrior,Squad Commander,ZNR,41,2020-09-25
Artifact Creature — Goblin Construct,Goblin Construct,Relic Robber,ZNR,153,2020-09-25
Creature — Salamander Warrior,Salamander Warrior,Amphin Mutineer,CMR,55,2020-11-20
Artifact Creature — Horror,Horror,Profane Transfusion,CMR,145,2020-11-20
Creature — Giant Wizard,Giant Wizard,Giant's Amulet,KHM,59,2021-02-05
Creature — Zombie Berserker,Zombie Berserker,Deathknell Berserker,KHM,83,2021-02-05
Creature — Dwarf Berserker,Dwarf Berserker,Dwarven Hammer,KHM,133,2021-02-05
Creature — Troll Warrior,Troll Warrior,Old-Growth Troll,KHM,185,2021-02-05
Creature — Demon Berserker,Demon Berserker,The Bloodsky Massacre,KHM,207,2021-02-05
Creature — Serpent,Koma's Coil,"Koma, Cosmos Serpent",KHM,221,2021-02-05
Enchantment — Shard,Shard,Niko Aris,KHM,225,2021-02-05
Snow Artifact,Icy Manalith,"Svella, Ice Shaper",KHM,230,2021-02-05
Creature — Inkling,Inkling,"Felisa, Fang of Silverquill",C21,2,2021-04-23
Creature — Fractal,Fractal,"Deekah, Fractal Theorist",C21,26,2021-04-23
Creature — Pest,Pest,Blight Mound,C21,36,2021-04-23
Creature — Fungus Beast,Fungus Beast,Trudge Garden,C21,69,2021-04-23
Creature — Crab,Crab,Hard Evidence,MH2,46,2021-06-18
Legendary Artifact — Equipment,"Icingdeath, Frost Tongue","Icingdeath, Frost Tyrant",AFR,20,2021-07-23
Creature — Faerie Dragon,Faerie Dragon,Feywild Trickster,AFR,58,2021-07-23
Creature — Dog Illusion,Dog Illusion,Mordenkainen,AFR,64,2021-07-23
Legendary Creature — Zombie God,Vecna,The Book of Vile Darkness,AFR,91,2021-07-23
Legendary Creature — Cat,Guenhwyvar,Drizzt Do'Urden,AFR,220,2021-07-23
Legendary Creature — Hamster,Boo,"Minsc, Beloved Ranger",AFR,227,2021-07-23
Legendary Creature — God Horror,The Atropal,Tomb of Annihilation,TAFR,22,2021-07-23
Artifact — Blood,Blood,"Strefan, Maurer Progenitor",VOC,2,2021-11-19
Creature — Spirit Cleric,Spirit Cleric,Hallowed Haunting,VOW,17,2021-11-19
Creature — Slug,Slug,"Toxrill, the Corrosive",VOW,132,2021-11-19
Creature — Dragon Illusion,Dragon Illusion,Manaform Hellkite,VOW,170,2021-11-19
